n_estimators,max_depth,learning_rate,subsample,colsample_bytree,auc_score,train_time_sec
600,4,0.05,1.0,0.8,0.8024728952408797,7.630875110626221
600,10,0.05,1.0,1.0,0.8024276289894099,8.830504894256592
1000,8,0.05,1.0,1.0,0.8023389110289818,10.787045240402222
800,10,0.05,1.0,1.0,0.8022319579347006,10.286708354949951
600,6,0.05,0.8,0.8,0.8021974647803443,8.513993501663208
600,4,0.05,0.8,0.8,0.8021921038544252,7.838176250457764
800,10,0.05,0.8,0.8,0.80211220542126,12.273033618927002
1000,10,0.05,0.8,0.8,0.8021038637098733,11.031771421432495
300,10,0.01,0.8,0.8,0.8020460581306962,12.01231050491333
600,8,0.05,0.8,0.8,0.802044713710053,8.304380655288696
300,6,0.01,0.8,0.8,0.8020258075676182,9.002719163894653
300,4,0.05,0.8,1.0,0.8019033434023296,6.279995679855347
300,8,0.01,0.8,0.8,0.801867783103365,10.567537546157837
600,6,0.05,0.8,1.0,0.8018352931605588,8.428403854370117
300,4,0.01,0.8,0.8,0.8017277551596683,7.375284671783447
800,4,0.05,0.8,0.8,0.8017266838147711,8.54928731918335
1000,10,0.05,1.0,1.0,0.8017126265276758,11.250699520111084
1000,4,0.05,0.8,0.8,0.8016764271956773,9.847720384597778
800,4,0.05,1.0,1.0,0.8016279427183861,8.413031578063965
1000,8,0.05,0.8,0.8,0.8015487831731422,10.640466928482056
600,10,0.05,0.8,1.0,0.8015429195972696,8.6782546043396
1000,6,0.05,0.8,0.8,0.8015329169701699,10.4767427444458
800,8,0.05,0.8,0.8,0.8014995811733963,12.980175971984863
600,4,0.05,1.0,1.0,0.8014881453704077,7.943492889404297
600,8,0.05,0.8,1.0,0.8014769806960527,8.618199110031128
300,6,0.01,0.8,1.0,0.8014734566000087,9.691412210464478
300,8,0.01,0.8,1.0,0.8013923971062835,11.210489988327026
300,10,0.01,0.8,1.0,0.8013819425584897,12.528059720993042
800,6,0.05,0.8,0.8,0.8013754913056782,9.201784372329712
1000,4,0.05,1.0,1.0,0.801318690112655,10.245831489562988
600,6,0.05,1.0,1.0,0.8012984992221404,8.877543210983276
800,6,0.05,1.0,1.0,0.8012847590182016,9.42416501045227
300,4,0.01,0.8,1.0,0.8012538645067495,7.360917091369629
800,6,0.05,0.8,1.0,0.8011128739128999,9.359585762023926
100,6,0.05,1.0,1.0,0.8009327456940448,4.380585432052612
800,10,0.05,0.8,1.0,0.8008782929878598,12.806085348129272
800,8,0.05,0.8,1.0,0.8008435965534086,10.429736375808716
1000,6,0.05,1.0,1.0,0.8007709578167308,10.539632797241211
1000,6,0.05,0.8,1.0,0.8005910790323564,10.714499950408936
1000,10,0.05,0.8,1.0,0.8004440207519046,11.39526653289795
1000,8,0.05,0.8,1.0,0.8003389770883533,11.047392129898071
600,4,0.05,0.8,1.0,0.7999831694458024,8.075289726257324
800,4,0.05,0.8,1.0,0.7996423995441032,8.862055778503418
1000,4,0.05,0.8,1.0,0.7993595012487195,10.576562404632568
300,6,0.01,1.0,0.8,0.7978912183889222,9.114356994628906
